"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Abilene Christian",70.0679,72,69.5133,66,95.6706,346,97.7106,330,100.773,58,102.391,91,-4.68027,222
"2025","Air Force",64.6651,335,64.5439,325,95.3082,347,98.9409,314,113.105,335,111.784,273,-12.8434,312
"2025","Akron",72.5396,12,71.5452,15,114.868,30,113.663,71,105.141,155,107.108,181,6.55485,99
"2025","Alabama",76.0804,1,75.0519,1,118.567,9,126.729,4,105.775,168,96.611,29,30.118,6
"2025","Alabama A&M",71.8121,21,71.123,22,94.8255,352,92.2618,361,109.965,275,115.654,334,-23.3921,360
"2025","Alabama St.",69.0935,115,68.0171,139,103.535,238,101.528,271,104.421,133,110.42,247,-8.89121,269
"2025","Albany",68.3589,162,67.6005,163,106.374,170,103.369,235,107.778,217,112.511,289,-9.14259,275
"2025","Alcorn St.",66.2947,270,64.7904,317,98.3786,325,97.8439,329,108.655,240,112.35,282,-14.5057,325
"2025","American",63.706,356,63.6912,349,104.782,208,102.597,248,105.745,166,109.177,224,-6.57969,248
"2025","Appalachian St.",63.822,354,63.2507,351,102.956,254,101.303,277,100.587,54,101.715,81,-0.411679,169
"2025","Arizona",70.4686,52,70.1684,49,115.66,23,122.875,13,102.321,81,96.562,28,26.3129,13
"2025","Arizona St.",69.9259,78,68.5034,114,104.136,225,112.66,80,107.936,223,101.361,74,11.2995,71
"2025","Arkansas",70.43,53,69.3885,67,108.057,136,114.156,65,100.608,55,95.0937,17,19.0623,36
"2025","Arkansas Pine Bluff",72.5224,14,71.4715,16,96.803,338,95.2986,349,117.868,356,121.252,359,-25.9533,363
"2025","Arkansas St.",70.2489,61,70.0844,51,111.263,69,111.471,93,99.8018,38,102.29,89,9.18181,84
"2025","Army",67.6368,195,67.9093,145,103.338,246,100.292,295,110.342,285,113.897,311,-13.6045,317
"2025","Auburn",68.9561,126,67.8946,147,120.784,5,128.292,3,100.439,50,93.3441,12,34.9483,4
"2025","Austin Peay",66.9383,235,66.1999,245,103.528,240,101.798,263,111.909,313,111.472,264,-9.67456,280
"2025","Ball St.",68.2285,168,66.5055,227,107.122,156,103.726,230,109.461,262,112.83,298,-9.10419,274
"2025","Baylor",65.2378,318,64.5069,326,113.198,45,121.403,16,106.376,181,100.515,64,20.8886,30
"2025","Bellarmine",67.1705,224,66.2754,239,104.599,215,103.699,231,120.141,362,121.862,360,-18.1629,347
"2025","Belmont",70.2996,57,70.6339,32,111.647,65,112.667,79,108.915,247,109.09,221,3.5768,127
"2025","Bethune Cookman",69.6409,89,69.1439,77,98.5583,322,97.5578,332,103.684,109,108.03,198,-10.4727,286
"2025","Binghamton",66.3968,266,65.825,271,101.991,274,98.9617,312,108.619,239,112.891,301,-13.9291,320
"2025","Boise St.",65.6615,304,65.3897,290,112.508,55,115.929,51,100.567,52,100.364,60,15.5647,48
"2025","Boston College",66.9241,237,66.8543,212,102.368,268,105.434,207,109.965,274,107.48,187,-2.04533,181
"2025","Boston University",63.6886,357,63.1838,352,101.383,287,99.1861,310,105.432,160,111.492,265,-12.3059,303
"2025","Bowling Green",69.9008,80,68.821,94,102.921,255,99.2538,307,107.562,211,109.847,237,-10.5931,288
"2025","Bradley",66.1183,286,65.8282,269,112.447,58,111.486,92,103.501,104,103.699,106,7.7871,92
"2025","Brown",67.3392,214,65.9047,267,104.399,220,103.292,236,105.673,165,107.002,177,-3.71031,207
"2025","Bryant",73.0937,6,72.5884,6,109.002,115,106.819,178,101.924,71,105.875,151,0.943924,150
"2025","Bucknell",67.5039,201,67.3624,182,105.124,199,102.867,245,103.376,102,107.778,193,-4.91104,225
"2025","Buffalo",72.1823,17,70.8351,29,97.4868,332,96.5559,340,113.151,336,113.916,312,-17.3605,339
"2025","Butler",67.3138,216,67.5704,165,109.54,103,116.319,46,109.494,264,105.652,147,10.6676,76
"2025","BYU",67.7862,190,67.4324,178,117.697,10,124.221,9,103.644,107,101.135,72,23.0861,24
"2025","Cal Baptist",67.4468,207,65.8078,272,104.443,218,105.769,204,102.647,85,106.426,164,-0.657189,173
"2025","Cal Poly",74.7494,3,74.5784,3,107.266,152,109.43,127,109.922,273,111.547,269,-2.11643,182
"2025","Cal St. Bakersfield",67.1759,223,66.1378,248,105.857,182,106.278,194,111.148,299,112.819,296,-6.54107,246
"2025","Cal St. Fullerton",68.9146,129,68.2391,128,90.6471,360,93.7967,356,113.953,339,112.654,294,-18.8574,351
"2025","California",67.8931,185,67.6202,161,108.149,133,111.319,95,109.907,272,106.952,175,4.36649,112
"2025","Campbell",66.1855,279,65.9402,264,103.729,232,101.767,265,104.339,130,106.355,159,-4.58716,221
"2025","Canisius",66.1992,277,66.2683,240,97.9873,330,99.1719,311,118.634,360,122.137,362,-22.965,359
"2025","Central Arkansas",67.4138,209,66.4491,228,99.1678,316,97.5684,331,115.32,344,116.233,340,-18.6644,349
"2025","Central Connecticut",66.1223,284,65.9078,265,104.99,201,99.9237,298,94.7891,7,101.752,82,-1.82873,180
"2025","Central Michigan",68.456,155,67.2804,189,105.496,187,105.633,205,107.753,216,108.415,205,-2.78226,198
"2025","Charleston",70.1206,67,70.135,50,107.391,149,106.18,196,103.712,110,105.66,148,0.520695,154
"2025","Charleston Southern",68.9002,130,67.4068,179,100.645,302,99.7765,300,113.05,333,111.93,277,-12.1535,302
"2025","Charlotte",65.3727,314,64.9446,304,105.382,188,104.677,218,112.753,327,112.455,286,-7.77791,257
"2025","Chattanooga",67.1898,222,66.5306,225,115.701,22,116.047,50,107.888,221,109.531,228,6.5159,100
"2025","Chicago St.",69.0067,122,68.3962,117,90.1502,361,91.9649,362,112.914,330,116.343,341,-24.3786,362
"2025","Cincinnati",66.1212,285,65.5501,284,106.262,172,110.643,100,99.7167,37,95.747,22,14.8957,55
"2025","Clemson",65.0943,325,64.5,327,114.685,33,118.306,28,98.7075,26,95.1341,18,23.1719,23
"2025","Cleveland St.",66.1324,282,65.5757,283,106.088,175,104.993,213,101.757,67,103.876,108,1.11722,148
"2025","Coastal Carolina",64.172,348,63.3355,350,102.206,271,100.699,287,112.218,321,115.498,330,-14.7988,329
"2025","Colgate",66.6717,252,67.2993,186,106.14,174,104.805,215,108.366,233,112.714,295,-7.90942,258
"2025","Colorado",68.1646,169,67.7826,151,101.879,278,108.979,137,104.315,128,99.359,52,9.61999,80
"2025","Colorado St.",66.2489,273,65.9078,266,112.663,51,116.903,40,100.787,59,99.3754,53,17.5272,42
"2025","Columbia",71.381,31,70.8003,30,108.284,128,106.484,188,112.772,328,116.077,336,-9.59241,279
"2025","Connecticut",64.5987,338,63.9035,342,117.565,11,121.687,15,104.089,123,101.433,76,20.2547,31
"2025","Coppin St.",68.8823,133,67.8469,149,88.6941,363,87.5059,363,111.307,301,111.874,275,-24.3678,361
"2025","Cornell",72.0602,19,70.9736,25,116.066,20,115.102,60,109.203,255,111.724,271,3.37803,129
"2025","Creighton",67.7221,193,67.2824,188,110.975,77,117.826,33,102.852,92,98.3403,44,19.4853,35
"2025","CSUN",72.6999,9,72.3663,8,109.119,113,108.96,139,101.967,72,104.877,129,4.0833,119
"2025","Dartmouth",71.611,24,71.0697,23,103.17,250,100.307,294,102.126,79,103.658,103,-3.35108,204
"2025","Davidson",66.3406,268,65.9958,261,108.74,121,109.669,118,107.716,215,108.468,207,1.20045,146
"2025","Dayton",66.1951,278,66.0721,254,112.488,56,115.783,52,106.49,183,105.72,149,10.0638,77
"2025","Delaware",70.0772,71,70.4556,41,109.439,107,109.519,123,112.61,325,115.142,323,-5.62294,234
"2025","Delaware St.",71.3075,33,70.3403,46,104.733,211,101.86,260,109.18,254,114.387,317,-12.5273,307
"2025","Denver",68.0079,179,66.549,224,101.508,283,98.7254,317,112.189,320,111.533,268,-12.8075,310
"2025","DePaul",67.6174,196,67.0387,203,105.154,198,109.86,111,107.853,220,105.381,139,4.47851,111
"2025","Detroit Mercy",67.5904,198,67.0952,196,96.1809,343,95.4813,345,111.536,306,111.996,278,-16.5151,337
"2025","Drake",59.7359,364,59.2576,364,112.733,49,112.917,74,98.8707,27,97.8703,41,15.0464,53
"2025","Drexel",63.9107,353,63.0903,355,106.776,160,104.052,223,103.597,105,106.197,153,-2.14543,184
"2025","Duke",66.4802,260,65.8269,270,125.221,1,129.189,1,92.9215,3,90.1935,4,38.9956,1
"2025","Duquesne",65.439,311,65.3332,293,103.751,231,106.025,199,103.151,98,103.717,107,2.30768,138
"2025","East Carolina",67.3023,217,66.7035,216,107.942,139,107.127,175,107.566,212,108.12,200,-0.992583,175
"2025","East Tennessee St.",65.5154,307,65.1877,296,109.524,105,106.789,179,103.198,100,104.986,131,1.80322,143
"2025","East Texas A&M",67.8148,189,67.3723,180,94.6543,354,96.9299,336,110.075,278,111.532,267,-14.6023,326
"2025","Eastern Illinois",66.9832,233,66.2868,238,94.2697,356,93.7191,357,103.965,114,107.035,179,-13.3157,316
"2025","Eastern Kentucky",67.9578,182,67.6847,159,110.763,80,109.56,121,110.078,279,111.816,274,-2.2568,187
